method	node	low_hz	high_hz	member_kind	members
carfac-cochlea	63	3052.876098633	3198.092529297	carfac_section	17
carfac-cochlea	64	3198.092529297	3349.861694336	carfac_section	16
carfac-cochlea	65	3349.861694336	3508.479370117	carfac_section	15
carfac-cochlea	66	3508.479370117	3674.254394531	carfac_section	14
carfac-cochlea	67	3674.254394531	3847.509887695	carfac_section	13
carfac-cochlea	68	3847.509887695	4028.583374023	carfac_section	12
carfac-cochlea	69	4028.583374023	4217.827392578	carfac_section	11
carfac-cochlea	70	4217.827392578	4415.611083984	carfac_section	10
carfac-cochlea	71	4415.611083984	4622.319580078	carfac_section	9
carfac-cochlea	72	4622.319580078	4838.355224609	carfac_section	8
carfac-cochlea	73	4838.355224609	5064.139404297	carfac_section	7
carfac-cochlea	74	5064.139404297	5300.111816406	carfac_section	6
carfac-cochlea	75	5300.111816406	5546.732177734	carfac_section	5
carfac-cochlea	76	5546.732177734	5804.481201172	carfac_section	4
carfac-cochlea	77	5804.481201172	6073.860839844	carfac_section	3
carfac-cochlea	78	6073.860839844	6430.578491211	carfac_section	2
carfac-cochlea	79	6430.578491211	8000.000000000	carfac_section	0,1
