pc	macro_index	micro_opcode	rounding
636	86	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
637	86	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
638	87	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
639	87	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
640	87	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
641	87	F32_CUBE	binary32_roundTiesToEven_after_each_scalar_result
642	87	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
643	87	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
644	87	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
645	87	F32_TANH	binary32_roundTiesToEven_after_each_scalar_result
646	87	F32_ADD_CONST	binary32_roundTiesToEven_after_each_scalar_result
647	87	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
648	87	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
649	87	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
650	88	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
651	89	F32_SQUARE	binary32_roundTiesToEven_after_each_scalar_result
652	89	F32_REDUCE_SUM	binary32_roundTiesToEven_after_each_scalar_result
653	89	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
654	89	F32_ADD_CONST	binary32_roundTiesToEven_after_each_scalar_result
655	89	F32_RSQRT	binary32_roundTiesToEven_after_each_scalar_result
656	89	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
657	89	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
658	90	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
659	90	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
660	90	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
661	90	RESHAPE	exact_or_explicitly_pinned
662	90	TRANSPOSE	exact_or_explicitly_pinned
663	90	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
664	90	RELATIVE_BIAS	exact_or_explicitly_pinned
665	90	CAUSAL_MASK	exact_or_explicitly_pinned
666	90	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
667	90	F32_REDUCE_MAX	binary32_roundTiesToEven_after_each_scalar_result
668	90	F32_SUB	binary32_roundTiesToEven_after_each_scalar_result
669	90	F32_EXP	binary32_roundTiesToEven_after_each_scalar_result
670	90	F32_REDUCE_SUM	binary32_roundTiesToEven_after_each_scalar_result
671	90	F32_DIV	binary32_roundTiesToEven_after_each_scalar_result
672	90	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
673	90	RESHAPE	exact_or_explicitly_pinned
674	90	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
675	91	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
676	92	F32_SQUARE	binary32_roundTiesToEven_after_each_scalar_result
677	92	F32_REDUCE_SUM	binary32_roundTiesToEven_after_each_scalar_result
678	92	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
679	92	F32_ADD_CONST	binary32_roundTiesToEven_after_each_scalar_result
680	92	F32_RSQRT	binary32_roundTiesToEven_after_each_scalar_result
